"num_ciiuv4","desc_seccion","desc_propuesta","desc_v2","desc_sector_01","p_fecinformacion"
"3311","Industrias manufactureras","INDUSTRIA","Reparación de productos elaborados de metal","Industria","20260128"
"3312","Industrias manufactureras","INDUSTRIA","Reparación de maquinaria","Industria","20260128"
"3313","Industrias manufactureras","INDUSTRIA","Reparación de equipo electrónico y óptico","Industria","20260128"
"3314","Industrias manufactureras","INDUSTRIA","Reparación de equipo eléctrico","Industria","20260128"
"3315","Industrias manufactureras","INDUSTRIA","Reparación de equipo de transporte, excepto vehículos automotores","Industria","20260128"
"3319","Industrias manufactureras","INDUSTRIA","Reparación de otros tipos de equipo","Industria","20260128"
"3320","Industrias manufactureras","INDUSTRIA","Instalación de maquinaria y equipo industriales","Industria","20260128"
"3510","Suministro de electricidad, gas, vapor y aire acondicionado","ENERGIA/GAS/GAS","Generación, transmisión y distribución de energía eléctrica","Energia/Gas","20260128"
"3520"," DISTRIBUCION de combustibles gaseosos por TUBERIAS"," DISTRIBUCION de combustibles gaseosos por TUBERIAS","Fabricación de gas","Hidrocarburos","20260128"
"3530","Suministro de electricidad, gas, vapor y aire acondicionado","ENERGIA/GAS/GAS","Suministro de vapor y de aire acondicionado","Energia/Gas","20260128"
"3600","Suministro de agua","ENERGIA","Captación, tratamiento y distribución de agua","Energia/Gas","20260128"
"3700","Suministro de agua","SERVICIOS","Evacuación de aguas residuales","Servicios","20260128"
"3811","Suministro de agua","SERVICIOS","Recogida de desechos no peligrosos","Servicios","20260128"
"3812","Suministro de agua","SERVICIOS","Recogida de desechos peligrosos","Servicios","20260128"
"3821","Suministro de agua","SERVICIOS","Tratamiento y eliminación de desechos no peligrosos","Servicios","20260128"
"3822","Suministro de agua","SERVICIOS","Tratamiento y eliminación de desechos peligrosos","Servicios","20260128"
"3830","Suministro de agua","SERVICIOS","Recuperación de materiales","Servicios","20260128"
"3900","Suministro de agua","CONSTRUCCION","Actividades de descontaminación y otros servicios de gestión de desechos","Construccion","20260128"
"4100","CONSTRUCCION","CONSTRUCCION","Construcción de edificios","Construccion","20260128"
"4210","CONSTRUCCION","CONSTRUCCION","Construcción de carreteras y vías de ferrocarril","Construccion","20260128"
"4220","CONSTRUCCION","CONSTRUCCION","Construcción de proyectos de servicio público","Construccion","20260128"
"4290","CONSTRUCCION","CONSTRUCCION","Construcción de otras obras de ingeniería civil","Construccion","20260128"
"4311","CONSTRUCCION","CONSTRUCCION","Demolición","Construccion","20260128"
"4312","CONSTRUCCION","CONSTRUCCION","Preparación del terreno","Construccion","20260128"
"4321","CONSTRUCCION","CONSTRUCCION","Instalaciones eléctricas","Construccion","20260128"
"4322","CONSTRUCCION","CONSTRUCCION","Instalaciones de fontanería, calefacción y aire acondicionado","Construccion","20260128"
"4329","CONSTRUCCION","CONSTRUCCION","Otras instalaciones para obras de construcción","Construccion","20260128"
"4330","CONSTRUCCION","CONSTRUCCION","Terminación y acabado de edificios","Construccion","20260128"
"4390","CONSTRUCCION","CONSTRUCCION","Otras actividades especializadas de construcción","Construccion","20260128"
"4510","Comercio al por mayor y al por menor","AUTOMOTRIZ VEHICULOS","Venta de vehículos automotores","Automotriz vehiculos","20260128"
"4520","Comercio al por mayor y al por menor","COMERCIO","Mantenimiento y reparación de vehículos automotores","Comercio","20260128"
"4530","Comercio al por mayor y al por menor","COMERCIO","Venta de partes, piezas y accesorios para vehículos automotores","Comercio","20260128"
"4540","Comercio al por mayor y al por menor","COMERCIO","Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios","Comercio","20260128"
"4610","Comercio al por mayor y al por menor","COMERCIO","Venta al por mayor a cambio de una retribución o por contrata","Comercio","20260128"
"4620","Comercio al por mayor y al por menor","COMERCIO","Venta al por mayor de materias primas agropecuarias y animales vivos","Comercio","20260128"
"4630","Comercio al por mayor y al por menor","COMERCIO","Venta al por mayor de alimentos, bebidas y tabaco","Comercio","20260128"
